pid,video,order,exint2,valence
1,2,1,0.1243993,-0.0456315
1,3,2,0.4097547,0.0005031
1,5,3,0.4566449,-0.0275981
1,1,4,0.6947717,-0.0314915
1,4,5,1,-0.052098
3,1,1,0,-0.025212
5,1,1,0,-0.0101289
6,4,1,0.3052283,-0.4556903
6,2,2,0.4296276,-0.2697244
6,3,3,0.714983,-0.0866445
6,1,4,0.9531097,-0.4876157
6,5,5,1,-0.4676273
7,1,1,0,0.3535321
9,3,1,0.2853554,0.005179
9,4,2,0.5905837,-0.0077056
9,2,3,0.714983,-0.0165715
9,1,4,0.9531097,0.0001301
9,5,5,1,-0.0196426
11,1,1,0,-0.1071609
12,1,1,0,-0.0804485
13,4,1,0.3052283,0.0030489
13,2,2,0.4296276,-0.1422776
13,3,3,0.714983,-0.0726116
13,1,4,0.9531097,-0.0160016
13,5,5,1,-0.0088881
16,1,1,0,-0.1228497
17,2,1,0.1243993,-0.0243862
17,4,2,0.4296276,0.0045569
17,3,3,0.714983,-0.005635
17,5,4,0.7618732,-0.0020781
17,1,5,1,-0.0209409
20,1,1,0,-0.2600644
21,1,1,0,-0.1214941
22,1,1,0,-0.0320278
23,1,1,0,-0.0421545
24,5,,1,
24,4,,1,-0.1071707
24,2,,1,
24,3,,1,
24,1,,1,-0.1001872
27,1,1,0,-0.0117264
31,4,1,0.3052283,
31,2,2,0.4296276,
31,3,3,0.714983,
31,1,4,0.9531097,0.0220396
31,5,5,1,
41,1,1,0,0.205425
51,1,1,0,0.0025231
81,1,1,0,-0.5281109
91,1,1,0,-0.2347851
101,1,1,0,0.0068243
111,1,1,0,0.0148239
200,5,1,0.0468902,0.0140853
200,2,2,0.1712895,-0.0063324
200,3,3,0.4566449,-0.0519073
200,1,4,0.6947717,-0.0685558
200,4,5,1,0.0199939
221,1,1,0,-0.0417704
241,2,1,0.1243993,
241,4,2,0.4296276,
241,3,3,0.714983,-0.0162582
241,5,4,0.7618732,-0.1071707
241,1,5,1,
246,2,1,0.1243993,-0.0392006
246,4,2,0.4296276,-0.0644543
246,3,3,0.714983,-0.0060177
246,5,4,0.7618732,-0.0710893
246,1,5,1,-0.032051
582,1,1,0,0.00008
693,1,1,0,-0.0748623
1102,1,1,0,0.0159336
1531,1,1,0,-0.0578098
1904,1,1,0,-0.1047599
2111,4,1,0.3052283,-0.080522
2111,2,2,0.4296276,-0.0928994
2111,3,3,0.714983,-0.0062212
2111,1,4,0.9531097,-0.0183779
2111,5,5,1,-0.0522198
2352,2,1,0.1243993,-0.1143336
2352,4,2,0.4296276,-0.0100516
2352,3,3,0.714983,-0.1610581
2352,5,4,0.7618732,-0.0166866
2352,1,5,1,-0.0796082
2519,1,1,0,-0.1351034
2701,2,1,0.1243993,
2701,4,2,0.4296276,
2701,3,3,0.714983,
2701,5,4,0.7618732,
2701,1,5,1,
2877,2,1,0.1243993,-0.0064097
2877,3,2,0.4097547,-0.0004627
2877,5,3,0.4566449,-0.0158347
2877,4,4,0.7618732,-0.0111232
2877,1,5,1,-0.0028745
3285,2,1,0.1243993,-0.2915699
3285,3,2,0.4097547,-0.1209949
3285,5,3,0.4566449,-0.1955087
3285,4,4,0.7618732,-0.1907973
3285,1,5,1,-0.3041757
3622,2,1,0.1243993,-0.0204375
3622,3,2,0.4097547,0.0008607
3622,5,3,0.4566449,-0.0217004
3622,1,4,0.6947717,-0.0074234
3622,4,5,1,-0.0169889
3942,1,1,0.2381268,-0.0591876
3942,2,2,0.3625261,-0.0093198
3942,5,3,0.4094163,-0.050343
3942,4,4,0.7146446,-0.0456315
3942,3,5,1,-0.0116386
4123,1,1,0,-0.0716049
4248,4,1,0.3052283,-0.1591787
4248,2,2,0.4296276,-0.0455448
4248,3,3,0.714983,0.0018058
4248,1,4,0.9531097,-0.012455
4248,5,5,1,-0.1784933
4362,1,4,0.9531097,0.0103848
4416,1,1,0.2381268,-0.0733368
4416,5,2,0.285017,-0.0443438
4416,3,3,0.5703724,-0.0418915
4416,2,4,0.6947717,-0.0579787
4416,4,5,1,-0.0629455
4557,1,1,0.6947717,-0.082373
4730,1,1,0,-0.023525
5146,1,1,0,-0.0584641
5364,2,1,0.1243993,-0.1707248
5364,4,2,0.4296276,-0.14482
5364,3,3,0.714983,-0.1487437
5364,5,4,0.7618732,-0.151455
5364,1,5,1,-0.2748153
5433,1,1,0.2381268,-0.1910449
5433,5,2,0.285017,-0.1378767
5433,3,3,0.5703724,-0.2859588
5433,2,4,0.6947717,-0.3481266
5433,4,5,1,-0.1957143
5826,3,1,0.2853554,-0.0730214
5826,4,2,0.5905837,-0.5541646
5826,2,3,0.714983,-0.497803
5826,1,4,0.9531097,-0.4479759
5826,5,5,1,-0.5336552
5831,1,1,0.6947717,0.2262156
7359,2,1,0.1243993,0.0120278
7359,5,2,0.1712895,-0.0108314
7359,3,3,0.4566449,-0.0134567
7359,4,4,0.7618732,-0.015375
7359,1,5,1,-0.0176159
7479,2,1,0.1243993,-0.013434
7479,4,2,0.4296276,-0.0129081
7479,3,3,0.714983,0.0416654
7479,5,4,0.7618732,-0.0195431
7479,1,5,1,0.0066525
7499,1,1,0.2381268,-0.0294025
7499,2,2,0.3625261,-0.0409106
7499,5,3,0.4094163,-0.0414391
7499,4,4,0.7146446,-0.0367276
7499,3,5,1,-0.0069473
7756,4,1,0.3052283,-0.0318747
7756,2,2,0.4296276,-0.0118646
7756,3,3,0.714983,-0.0045544
7756,1,4,0.9531097,0.0032388
7756,5,5,1,-0.0438117
8129,1,1,0,0.0156288
8591,1,1,0,-0.0100528
9258,1,1,0,0.0348215
11064,1,1,0,-0.0136137
11403,1,1,0.2381268,0.0711269
11403,2,2,0.3625261,0.0185371
11403,5,3,0.4094163,0.0511529
11403,4,4,0.7146446,0.0558644
11403,3,5,1,0.0877888
11551,1,1,0.2381268,-0.1894447
11551,5,2,0.285017,-0.1889621
11551,4,3,0.5902454,-0.2682295
11551,2,4,0.7146446,0.1150478
11551,3,5,1,-0.0153163
12254,2,1,0.1243993,-0.0253089
12254,5,2,0.1712895,-0.0548121
12254,3,3,0.4566449,-0.1022779
12254,4,4,0.7618732,-0.0778051
12254,1,5,1,-0.1854708
13681,2,1,0.1243993,-0.0274298
13681,4,2,0.4296276,-0.0471469
13681,3,3,0.714983,-0.0749363
13681,5,4,0.7618732,-0.0537819
13681,1,5,1,-0.0949948
14577,1,1,0,
14650,2,1,0.1243993,0.0864164
14650,4,2,0.4296276,0.2972611
14650,3,3,0.714983,0.0650183
14650,5,4,0.7618732,0.290626
14650,1,5,1,0.2287436
14751,1,1,0,0.362618
14866,1,1,0,-0.3242022
15701,2,1,0.1243993,0.1698578
15701,3,2,0.4097547,0.2524739
15701,5,3,0.4566449,0.1740884
15701,4,4,0.7618732,0.1787999
15701,1,5,1,-0.0178241
15716,1,1,0.2381268,-0.0493045
15716,5,2,0.285017,0.0558544
15716,3,3,0.5703724,-0.035118
15716,2,4,0.6947717,0.0118824
15716,4,5,1,0.0792847
16349,2,1,0.1243993,-0.2143575
16349,5,2,0.1712895,-0.0202541
16349,3,3,0.4566449,-0.0141729
16349,4,4,0.7618732,-0.0287505
16349,1,5,1,-0.016039
16415,1,1,0.2381268,-0.017001
16415,5,2,0.285017,-0.0076613
16415,3,3,0.5703724,0.0004493
16415,2,4,0.6947717,-0.0062811
16415,4,5,1,-0.0108751
18516,1,1,0,-0.1387166
19141,4,1,0.3052283,-0.0763226
19141,2,2,0.4296276,-0.1148454
